Fytoken,Symbol Details,Tick size,ISIN,NSE_SYMBOL,SYMBOL
101000000016974,SDL CG 7.4% 2030,0.01,IN3520230027,NSE:74CG30-SG,74CG30
101000000016975,SDL MH 7.4% 2031,0.01,IN2220230097,NSE:74MH31-SG,74MH31
101000000016976,SDL CG 7.42% 2031,0.01,IN3520230035,NSE:742CG31-SG,742CG31
101000000016977,SDL ML 7.42% 2032,0.01,IN2420230020,NSE:742ML32-SG,742ML32
101000000016978,SDL MH 7.4% 2032,0.01,IN2220230105,NSE:74MH32-SG,74MH32
101000000016979,SDL HR 7.4% 2033,0.01,IN1620230111,NSE:74HR33-SG,74HR33
101000000016981,SDL PN 7.45% 2034,0.01,IN2820230067,NSE:745PN34-SG,745PN34
101000000016982,SDL GA 7.47% 2038,0.01,IN1420230022,NSE:747GA38-SG,747GA38
101000000016986,COUNTRY CONDO S LIMITED,0.05,INE695B01025,NSE:COUNCODOS-EQ,COUNCODOS
101000000016987,SDL AP 7.43% 2039,0.01,IN1020230265,NSE:743AP39-SG,743AP39
101000000016988,SDL AP 7.42% 2041,0.01,IN1020230273,NSE:742AP41-SG,742AP41
101000000016992,SDL TN 7.42% 2043,0.01,IN3120230112,NSE:742TN43-SG,742TN43
101000000016993,SDL AP 7.42% 2043,0.01,IN1020230281,NSE:742AP43-SG,742AP43
101000000016994,SDL TS 7.4% 2045,0.01,IN4520230090,NSE:74TS45-SG,74TS45
101000000016995,SDL RJ 7.39% 2048,0.01,IN2920230090,NSE:739RJ48-SG,739RJ48
101000000016997,SDL TS 7.39% 2051,0.01,IN4520230108,NSE:739TS51-SG,739TS51
101000000016998,SDL KL 7.39% 2052,0.01,IN2020230057,NSE:739KL52-SG,739KL52
1010000000170,SDL KA 6.7% 2030,0.01,IN1920200251,NSE:67KA30-SG,67KA30
10100000001700,SDL RJ 5.32% 2025,0.01,IN2920200531,NSE:532RJ25-SG,532RJ25
101000000017000,TEAMO PRODUCTIONS HQ LTD,0.05,INE065J01024,NSE:TPHQ-BE,TPHQ
101000000017003,SDL TN 7.39% 2053,0.01,IN3120230120,NSE:739TN53-SG,739TN53
101000000017006,FUTURE ENTERPRISES LTD,0.05,IN9623B01058,NSE:FELDVR-BE,FELDVR
101000000017009,GOI TBILL 364D-28/06/24,0.01,IN002023Z141,NSE:364D280624-TB,364D280624
101000000017010,GENSOL ENGINEERING LTD,0.05,INE06H201014,NSE:GENSOL-EQ,GENSOL
101000000017016,SEC RE NCD 8.35% SR.I,0.01,INE530B07336,NSE:IIFL-NV,IIFL
101000000017018,SEC RE NCD 0% SR.II,0.01,INE530B07393,NSE:IIFL-NW,IIFL
101000000017022,MAWANA SUGARS LIMITED,0.05,INE636A01039,NSE:MAWANASUG-EQ,MAWANASUG
101000000017024,SEC RE NCD 8.5% SR.III,0.01,INE530B07344,NSE:IIFL-NX,IIFL
101000000017029,PATANJALI FOODS LIMITED,0.05,INE619A01035,NSE:PATANJALI-EQ,PATANJALI
10100000001703,SDL CG 5.88% 2026,0.01,IN3520200087,NSE:588CG26-SG,588CG26
101000000017032,THYROCARE TECH LTD,0.05,INE594H01019,NSE:THYROCARE-EQ,THYROCARE
101000000017034,SEC RE NCD 0% SR.IV,0.01,INE530B07351,NSE:IIFL-NY,IIFL
101000000017039,SEC RE NCD 8.65% SR.V,0.01,INE530B07385,NSE:IIFL-NZ,IIFL
101000000017041,SEC RE NCD 9% SR.VI,0.01,INE530B07377,NSE:IIFL-Y0,IIFL
101000000017043,SEC RE NCD 0% SR.VII,0.01,INE530B07369,NSE:IIFL-Y1,IIFL
101000000017044,NIP IND ETF SHARIAH BEES,0.01,INF732E01128,NSE:SHARIABEES-EQ,SHARIABEES
101000000017050,HIND NATL GLASS & IND LTD,0.05,INE952A01022,NSE:HINDNATGLS-BE,HINDNATGLS
101000000017053,HMA AGRO INDUSTRIES LTD,0.05,INE0ECP01024,NSE:HMAAGRO-EQ,HMAAGRO
101000000017059,PALRED TECHNOLOGIES LTD,0.05,INE218G01033,NSE:PALREDTEC-BE,PALREDTEC
101000000017069,UJJIVAN FIN. SERVC. LTD.,0.05,INE334L01012,NSE:UJJIVAN-EQ,UJJIVAN
101000000017071,URAVI T AND WEDG LAMP LTD,0.05,INE568Z01015,NSE:URAVI-EQ,URAVI
10100000001708,JAY BHARAT MARUTI LTD,0.05,INE571B01036,NSE:JAYBARMARU-EQ,JAYBARMARU
101000000017084,ESSEN SPECIALITY FILMS L,0.05,INE0ITO01014,NSE:ESFL-SM,ESFL
101000000017088,MAGSON RETAIL AND DIST L,0.05,INE0O1S01012,NSE:MAGSON-SM,MAGSON
10100000001709,SDL KL 6.17% 2027,0.01,IN2020200233,NSE:617KL27-SG,617KL27
101000000017092,GREENCHEF APPLIANCES LTD,0.05,INE0O7P01015,NSE:GREENCHEF-SM,GREENCHEF
101000000017094,CROMPT GREA CON ELEC LTD,0.05,INE299U01018,NSE:CROMPTON-EQ,CROMPTON
1010000000171,SDL RJ 6.72% 2030,0.01,IN2920200382,NSE:672RJ30-SG,672RJ30
101000000017101,SDL HP 7.5% 2038,0.01,IN1720230045,NSE:75HP38-SG,75HP38
101000000017102,SDL AP 7.52% 2039,0.01,IN1020230307,NSE:752AP39-SG,752AP39
101000000017103,SDL TS 7.47% 2041,0.01,IN4520230116,NSE:747TS41-SG,747TS41
101000000017104,SDL KL 7.47% 2042,0.01,IN2020230065,NSE:747KL42-SG,747KL42
101000000017105,SUMITOMO CHEM INDIA LTD,0.05,INE258G01013,NSE:SUMICHEM-EQ,SUMICHEM
101000000017110,2.50%GOLDBONDS2028SR-VIII,0.01,IN0020190537,NSE:SGBJ28VIII-GB,SGBJ28VIII
101000000017111,SDL AP 7.46% 2043,0.01,IN1020230315,NSE:746AP43-SG,746AP43
101000000017112,SDL TN 7.45% 2043,0.01,IN3120230146,NSE:745TN43-SG,745TN43
101000000017113,SDL RJ 7.43% 2048,0.01,IN2920230116,NSE:743RJ48-SG,743RJ48
101000000017114,SDL PN 7.43% 2048,0.01,IN2820230083,NSE:743PN48-SG,743PN48
101000000017115,SDL TS 7.43% 2050,0.01,IN4520230124,NSE:743TS50-SG,743TS50
101000000017116,SDL ML 7.44% 2031,0.01,IN2420230038,NSE:744ML31-SG,744ML31
101000000017117,SDL AS 7.45% 2033,0.01,IN1220230065,NSE:745AS33-SG,745AS33
101000000017118,SDL HP 7.45% 2033,0.01,IN1720230037,NSE:745HP33-SG,745HP33
101000000017119,SDL TN 7.44% 2033,0.01,IN3120230138,NSE:744TN33A-SG,744TN33A
10100000001712,SDL ML 6.6% 2030,0.01,IN2420200080,NSE:66ML30A-SG,66ML30A
101000000017122,SDL RJ 7.44% 2033,0.01,IN2920230108,NSE:744RJ33-SG,744RJ33
101000000017124,SDL AP 7.46% 2034,0.01,IN1020230299,NSE:746AP34-SG,746AP34
101000000017127,SDL PN 7.47% 2034,0.01,IN2820230075,NSE:747PN34-SG,747PN34
101000000017130,PARAG MILK FOODS LTD.,0.05,INE883N01014,NSE:PARAGMILK-EQ,PARAGMILK
101000000017131,GOI TBILL 364D-04/07/24,0.01,IN002023Z158,NSE:364D040724-TB,364D040724
101000000017132,PENTAGON RUBBER LIMITED,0.05,INE0ORS01017,NSE:PENTAGON-SM,PENTAGON
101000000017140,IDEAFORGE TECHNO LTD,0.05,INE349Y01013,NSE:IDEAFORGE-EQ,IDEAFORGE
101000000017145,AARTECH SOLONICS LIMITED,0.05,INE01C001018,NSE:AARTECH-EQ,AARTECH
10100000001715,SDL RJ 6.6% 2030,0.01,IN2920200549,NSE:66RJ30C-SG,66RJ30C
101000000017152,ICICIPRAMC - ICICIM150,0.01,INF109KC1G82,NSE:MIDCAPIETF-EQ,MIDCAPIETF
101000000017157,SEC RED NCD 8.66% SR.II,0.01,INE721A07PJ9,NSE:SHRIRAMFIN-ZE,SHRIRAMFIN
101000000017159,SEC RED NCD 8.75% SR.III,0.01,INE721A07PK7,NSE:SHRIRAMFIN-ZF,SHRIRAMFIN
101000000017163,SEC RED NCD 9% SR.V,0.01,INE721A07PM3,NSE:SHRIRAMFIN-ZH,SHRIRAMFIN
101000000017167,GLOBAL PET INDUSTRIES LTD,0.05,INE0PS501019,NSE:GLOBALPET-SM,GLOBALPET
101000000017172,SEC RED NCD 9.10% SR.VI,0.01,INE721A07PN1,NSE:SHRIRAMFIN-ZI,SHRIRAMFIN
101000000017179,SEC RED NCD SR.VIII,0.01,INE721A07PP6,NSE:SHRIRAMFIN-ZK,SHRIRAMFIN
101000000017181,MIRAEAMC - MANXT50,0.01,INF769K01FN2,NSE:NEXT50-EQ,NEXT50
101000000017186,SHRIRAM PIST. & RING LTD,0.05,INE526E01018,NSE:SHRIPISTON-EQ,SHRIPISTON
101000000017187,CYIENT DLM LIMITED,0.05,INE055S01018,NSE:CYIENTDLM-EQ,CYIENTDLM
101000000017197,PAKKA LIMITED,0.05,INE551D01018,NSE:PAKKA-EQ,PAKKA
10100000001720,JAYSHREE TEA & INDUSTRIES,0.05,INE364A01020,NSE:JAYSREETEA-EQ,JAYSREETEA
101000000017202,2.50%GOLDBONDS2031SR-I,0.01,IN0020230069,NSE:SGBJUN31I-GB,SGBJUN31I
101000000017203,SYNOPTICS TECHNOLOGIES L,0.05,INE0BTR01012,NSE:SYNOPTICS-SM,SYNOPTICS
101000000017207,DSPAMC - DSPITETF,0.01,INF740KA1SX1,NSE:ITETFADD-EQ,ITETFADD
10100000001721,SDL WB 6.6% 2030,0.01,IN3420200187,NSE:66WB30-SG,66WB30
101000000017210,TRIDHYA TECH LIMITED,0.05,INE0LWY01029,NSE:TRIDHYA-SM,TRIDHYA
101000000017220,SDL HR 7.44% 2032,0.01,IN1620230129,NSE:744HR32-SG,744HR32
101000000017221,SDL TN 7.42% 2033,0.01,IN3120230153,NSE:742TN33-SG,742TN33
101000000017222,SDL HR 7.47% 2035,0.01,IN1620230137,NSE:747HR35-SG,747HR35
101000000017223,SDL JK 7.44% 2038,0.01,IN4920230047,NSE:744JK38-SG,744JK38
101000000017224,SDL TS 7.44% 2039,0.01,IN4520230132,NSE:744TS39-SG,744TS39
101000000017250,SDL AP 7.43% 2041,0.01,IN1020230323,NSE:743AP41-SG,743AP41
101000000017251,SDL AP 7.43% 2042,0.01,IN1020230331,NSE:743AP42-SG,743AP42
101000000017256,ALBERT DAVID LIMITED,0.05,INE155C01010,NSE:ALBERTDAVD-EQ,ALBERTDAVD
101000000017257,SDL KL 7.42% 2043,0.01,IN2020230073,NSE:742KL43-SG,742KL43
10100000001726,J B CHEMICALS AND PHARMA,0.05,INE572A01036,NSE:JBCHEPHARM-EQ,JBCHEPHARM
101000000017263,ARMAN FIN SERV LTD,0.05,INE109C01017,NSE:ARMANFIN-EQ,ARMANFIN
101000000017265,GOI TBILL 364D-11/07/24,0.01,IN002023Z166,NSE:364D110724-TB,364D110724
10100000001727,SDL KA 6.51% 2030,0.01,IN1920200533,NSE:651KA30C-SG,651KA30C
101000000017270,ASPINWALL & CO LTD,0.05,INE991I01015,NSE:ASPINWALL-EQ,ASPINWALL
101000000017271,SENCO GOLD LIMITED,0.05,INE602W01019,NSE:SENCO-EQ,SENCO
101000000017272,SBI-ETF GOLD,0.01,INF200KA16D8,NSE:SETFGOLD-EQ,SETFGOLD
101000000017279,BLS INTL SERVS LTD,0.05,INE153T01027,NSE:BLS-EQ,BLS
101000000017295,NAGARJUN FERT AND CHE LTD,0.05,INE454M01024,NSE:NAGAFERT-EQ,NAGAFERT
1010000000173,SDL SK 6.73% 2030,0.01,IN3020200025,NSE:673SK30-SG,673SK30
10100000001730,SDL PY 6.64% 2032,0.01,IN3820200050,NSE:664PY32-SG,664PY32
101000000017307,AJMERA REALTY & INF I LTD,0.05,INE298G01027,NSE:AJMERA-EQ,AJMERA
101000000017313,LLOYDS METALS N ENERGY L,0.05,INE281B01032,NSE:LLOYDSME-EQ,LLOYDSME
101000000017322,SDL BR 7.37% 2030,0.01,IN1320230015,NSE:737BR30-SG,737BR30
101000000017323,SDL TN 7.35% 2033,0.01,IN3120230161,NSE:735TN33A-SG,735TN33A
101000000017324,SDL GA 7.38% 2033,0.01,IN1420230030,NSE:738GA33-SG,738GA33
101000000017325,SDL AP 7.36% 2038,0.01,IN1020230349,NSE:736AP38A-SG,736AP38A
101000000017326,SDL MZ 7.36% 2038,0.01,IN2520230045,NSE:736MZ38A-SG,736MZ38A
101000000017327,SDL KL 7.36% 2038,0.01,IN2020230081,NSE:736KL38-SG,736KL38
101000000017328,SDL TS 7.34% 2044,0.01,IN4520230140,NSE:734TS44-SG,734TS44
101000000017329,SDL TS 7.34% 2046,0.01,IN4520230157,NSE:734TS46-SG,734TS46
10100000001733,SDL KA 6.62% 2032,0.01,IN1920200541,NSE:662KA32A-SG,662KA32A
101000000017332,GOI TBILL 364D-18/07/24,0.01,IN002023Z174,NSE:364D180724-TB,364D180724
101000000017333,MAHINDRA HOLIDAYS LTD,0.05,INE998I01010,NSE:MHRIL-EQ,MHRIL
101000000017334,SEC RE NCD 9.75% SR. I,0.01,INE342T07411,NSE:NAVIFIN-N0,NAVIFIN
101000000017345,SEC RE NCD 10.25% SR.II,0.01,INE342T07379,NSE:NAVIFIN-N5,NAVIFIN
101000000017347,SEC RE NCD 10.75% SR.III,0.01,INE342T07395,NSE:NAVIFIN-N6,NAVIFIN
101000000017349,SEC RE NCD 10.50% SR.IV,0.01,INE342T07387,NSE:NAVIFIN-N7,NAVIFIN
101000000017351,SALONA COTSPIN LTD.,0.05,INE498E01010,NSE:SALONA-EQ,SALONA
101000000017352,SEC RE NCD 11.02% SR.V,0.01,INE342T07403,NSE:NAVIFIN-N8,NAVIFIN
101000000017357,GKW LIMITED,0.05,INE528A01020,NSE:GKWLIMITED-EQ,GKWLIMITED
101000000017358,UTKARSH SMALL FIN BANK L,0.05,INE735W01017,NSE:UTKARSHBNK-EQ,UTKARSHBNK
101000000017364,VINATI ORGANICS LTD,0.05,INE410B01037,NSE:VINATIORGA-EQ,VINATIORGA
101000000017372,DRONE DESTINATION LIMITED,0.05,INE0P7201019,NSE:DRONE-SM,DRONE
10100000001738,SDL TR 6.65% 2035,0.01,IN3220200049,NSE:665TR35-SG,665TR35
101000000017380,EXCEL REALTY N INFRA LTD,0.05,INE688J01023,NSE:EXCEL-BE,EXCEL
101000000017388,ADANI POWER LTD,0.05,INE814H01011,NSE:ADANIPOWER-EQ,ADANIPOWER
10100000001739,SDL AP 6.65% 2036,0.01,IN1020200508,NSE:665AP36-SG,665AP36
101000000017395,SBIAMC - SETF10GILT,0.01,INF200KA1JT1,NSE:SETF10GILT-EQ,SETF10GILT
101000000017397,PREMIER EXPLOSIVES LTD,0.05,INE863B01011,NSE:PREMEXPLN-EQ,PREMEXPLN
101000000017398,GOI LOAN  7.18% 2037,0.01,IN0020230077,NSE:718GS2037-GS,718GS2037
101000000017399,SERVICE CARE LIMITED,0.05,INE0P1Q01015,NSE:SERVICE-SM,SERVICE
101000000017400,NHPC LTD,0.05,INE848E01016,NSE:NHPC-EQ,NHPC
101000000017419,MIRAEAMC - BANKETF,0.01,INF769K01KR3,NSE:BANKETF-EQ,BANKETF
10100000001742,SDL TS 6.65% 2040,0.01,IN4520200275,NSE:665TS40-SG,665TS40
101000000017424,GLOBUS SPIRITS LTD,0.05,INE615I01010,NSE:GLOBUSSPR-EQ,GLOBUSSPR
101000000017433,NETWEB TECH INDIA LTD,0.05,INE0NT901020,NSE:NETWEB-EQ,NETWEB
101000000017438,OIL INDIA LTD,0.05,INE274J01014,NSE:OIL-EQ,OIL
101000000017446,SDL BR 7.4% 2030,0.01,IN1320230023,NSE:74BR30-SG,74BR30
10100000001745,SDL AP 6.65% 2040,0.01,IN1020200516,NSE:665AP40-SG,665AP40
101000000017453,SDL UP 7.4% 2033,0.01,IN3320230045,NSE:74UP33-SG,74UP33
101000000017454,SDL TN 7.39% 2033,0.01,IN3120230179,NSE:739TN33B-SG,739TN33B
101000000017455,SDL GA 7.41% 2033,0.01,IN1420230048,NSE:741GA33-SG,741GA33
101000000017456,SDL RJ 7.41% 2033,0.01,IN2920230124,NSE:741RJ33-SG,741RJ33
101000000017457,SDL AP 7.43% 2035,0.01,IN1020230356,NSE:743AP35-SG,743AP35
101000000017458,SDL MN 7.41% 2035,0.01,IN2320230039,NSE:741MN35-SG,741MN35
101000000017459,SDL KL 7.36% 2041,0.01,IN2020230099,NSE:736KL41-SG,736KL41
101000000017460,SDL RJ 7.36% 2041,0.01,IN2920230132,NSE:736RJ41-SG,736RJ41
101000000017461,SDL WB 7.36% 2041,0.01,IN3420230044,NSE:736WB41-SG,736WB41
101000000017463,SDL TN 7.36% 2043,0.01,IN3120230187,NSE:736TN43-SG,736TN43
101000000017470,GOI TBILL 364D-25/07/24,0.01,IN002023Z182,NSE:364D250724-TB,364D250724
101000000017475,ICICI PRUDENTIAL NV20 ETF,0.01,INF109KC11V0,NSE:NV20IETF-EQ,NV20IETF
101000000017477,CONTROL PRINT LIMITED,0.05,INE663B01015,NSE:CONTROLPR-EQ,CONTROLPR
101000000017478,SEC RE NCD 9.25% SR I,0.01,INE148I07OI3,NSE:IBULHSGFIN-AO,IBULHSGFIN
101000000017485,SEC RE NCD 9.65% SR I,0.01,INE148I07OM5,NSE:IBULHSGFIN-AP,IBULHSGFIN
101000000017486,EXPLEO SOLUTIONS LIMITED,0.05,INE201K01015,NSE:EXPLEOSOL-EQ,EXPLEOSOL
101000000017488,SEC RE NCD 8.88% SR II,0.01,INE148I07OJ1,NSE:IBULHSGFIN-AQ,IBULHSGFIN
101000000017501,SEC RE NCD 9.25% SR II,0.01,INE148I07OL7,NSE:IBULHSGFIN-AR,IBULHSGFIN
101000000017503,SEC RE NCD SR III,0.01,INE148I07OK9,NSE:IBULHSGFIN-AS,IBULHSGFIN
101000000017505,SEC RE NCD SR III,0.01,INE148I07OO1,NSE:IBULHSGFIN-AT,IBULHSGFIN
101000000017508,SEC RE NCD 9.40% SR IV,0.01,INE148I07ON3,NSE:IBULHSGFIN-AU,IBULHSGFIN
101000000017511,INCREDIBLE INDUSTRIES LTD,0.05,INE452L01012,NSE:INCREDIBLE-BE,INCREDIBLE
101000000017514,SETCO AUTOMOTIVE LTD,0.05,INE878E01021,NSE:SETCO-EQ,SETCO
101000000017515,SEC RE NCD 9.90% SR IV,0.01,INE148I07OR4,NSE:IBULHSGFIN-AV,IBULHSGFIN
101000000017521,SEC RE NCD 9.02% SR V,0.01,INE148I07OQ6,NSE:IBULHSGFIN-AW,IBULHSGFIN
101000000017524,RATTANINDIA POWER LIMITED,0.05,INE399K01017,NSE:RTNPOWER-BE,RTNPOWER
101000000017528,SEC RE NCD 9.48% SR V,0.01,INE148I07OP8,NSE:IBULHSGFIN-AX,IBULHSGFIN
101000000017531,MAHAMAYA STEEL INDS LTD,0.05,INE451L01014,NSE:MAHASTEEL-BE,MAHASTEEL
101000000017534,MAHANAGAR GAS LTD.,0.05,INE002S01010,NSE:MGL-EQ,MGL
101000000017535,SEC RE NCD SR VI,0.01,INE148I07OS2,NSE:IBULHSGFIN-AY,IBULHSGFIN
101000000017541,DAMODAR INDUSTRIES LTD,0.05,INE497D01022,NSE:DAMODARIND-EQ,DAMODARIND
101000000017542,SEC RE NCD 10.15% SR VII,0.01,INE148I07OW4,NSE:IBULHSGFIN-AZ,IBULHSGFIN
101000000017546,SEC RE NCD 9.25% SR VIII,0.01,INE148I07OU8,NSE:IBULHSGFIN-BA,IBULHSGFIN
101000000017547,AMRUTAJAN HEALTH LTD,0.05,INE098F01031,NSE:AMRUTANJAN-EQ,AMRUTANJAN
10100000001756,JINDAL POLY FILMS LIMITED,0.05,INE197D01010,NSE:JINDALPOLY-EQ,JINDALPOLY
101000000017564,SEC RE NCD 9.71% SR VIII,0.01,INE148I07OT0,NSE:IBULHSGFIN-BC,IBULHSGFIN
10100000001757,SDL PN 6.65% 2050,0.01,IN2820200177,NSE:665PN50A-SG,665PN50A
101000000017572,MIRAEAMC - LIQUID,0.01,INF769K01KS1,NSE:LIQUID-EQ,LIQUID
101000000017576,DSPAMC - DSPPVBKETF,0.01,INF740KA1TA7,NSE:PVTBANKADD-EQ,PVTBANKADD
10100000001758,NHB 8.68 NCD TR II SR 2 A,0.01,INE557F07157,NSE:NHBTF2023-N3,NHBTF2023
101000000017598,ASSO ALCOHOLS & BREW LTD,0.05,INE073G01016,NSE:ASALCBR-EQ,ASALCBR
101000000017603,MAHINDRA EPC IRRIG LTD,0.05,INE215D01010,NSE:MAHEPC-EQ,MAHEPC
10100000001761,NHB 8.65 NCD TR II SR 3 A,0.01,INE557F07165,NSE:NHBTF2023-N4,NHBTF2023
101000000017613,DSPAMC - DSPSENXETF,0.01,INF740KA1SZ6,NSE:SENSEXADD-EQ,SENSEXADD
101000000017616,DSPAMC - DSPPSBKETF,0.01,INF740KA1SY9,NSE:PSUBANKADD-EQ,PSUBANKADD
101000000017625,MOLD-TEK TECHNOLOGIES LTD,0.05,INE835B01035,NSE:MOLDTECH-EQ,MOLDTECH
101000000017627,YASONS CHEMEX CARE LTD,0.05,INE08S201019,NSE:YCCL-SM,YCCL
101000000017635,ZYDUS WELLNESS LIMITED,0.05,INE768C01010,NSE:ZYDUSWELL-EQ,ZYDUSWELL
101000000017637,SDL TS 7.45% 2030,0.01,IN4520230165,NSE:745TS30A-SG,745TS30A
101000000017641,SUNTECK REALTY LIMITED,0.05,INE805D01034,NSE:SUNTECK-EQ,SUNTECK
101000000017642,SDL AS 7.45% 2033,0.01,IN1220230073,NSE:745AS33A-SG,745AS33A
101000000017643,SDL AP 7.45% 2033,0.01,IN1020230364,NSE:745AP33-SG,745AP33
10100000001765,NHB 8.93 NCD TR II SR 2 B,0.01,INE557F07181,NSE:NHBTF2023-N6,NHBTF2023
101000000017651,POKARNA LIMITED,0.05,INE637C01025,NSE:POKARNA-EQ,POKARNA
101000000017652,SDL RJ 7.49% 2034,0.01,IN2920230140,NSE:749RJ34-SG,749RJ34
101000000017653,SDL KL 7.45% 2040,0.01,IN2020230107,NSE:745KL40-SG,745KL40
101000000017659,UNIVERSUS IMAGINGS LTD,0.05,INE03V001013,NSE:UNIVPHOTO-EQ,UNIVPHOTO
101000000017664,2.50%GOLDBONDS2028SR-IX,0.01,IN0020190545,NSE:SGBFEB28IX-GB,SGBFEB28IX
101000000017665,ALOK INDUSTRIES LIMITED,0.05,INE270A01029,NSE:ALOKINDS-BE,ALOKINDS
101000000017667,SDL TS 7.45% 2040,0.01,IN4520230173,NSE:745TS40-SG,745TS40
101000000017668,SDL AP 7.45% 2040,0.01,IN1020230372,NSE:745AP40A-SG,745AP40A
101000000017669,SDL AP 7.44% 2043,0.01,IN1020230380,NSE:744AP43-SG,744AP43
10100000001767,NHB 8.90 NCD TR II SR 3 B,0.01,INE557F07199,NSE:NHBTF2023-N7,NHBTF2023
101000000017670,SDL TN 7.43% 2043,0.01,IN3120230195,NSE:743TN43-SG,743TN43
101000000017671,SDL TN 7.43% 2053,0.01,IN3120230203,NSE:743TN53-SG,743TN53
101000000017672,SDL JK 7.44% 2053,0.01,IN4920230054,NSE:744JK53-SG,744JK53
101000000017683,GOI TBILL 364D-01/08/24,0.01,IN002023Z190,NSE:364D010824-TB,364D010824
101000000017684,SHRI TECHTEX LIMITED,0.05,INE0OMF01015,NSE:SHRITECH-SM,SHRITECH
101000000017685,GPT INFRAPROJECTS LTD,0.05,INE390G01014,NSE:GPTINFRA-EQ,GPTINFRA
101000000017695,VIJI FINANCE LIMITED,0.05,INE159N01027,NSE:VIJIFIN-BE,VIJIFIN
101000000017700,NIP IND ETF LONGTERM GILT,0.01,INF204KB1882,NSE:LTGILTBEES-EQ,LTGILTBEES
101000000017702,ICICI PRUD MIDCAP SEL ETF,0.01,INF109KB1XT3,NSE:MIDSELIETF-EQ,MIDSELIETF
101000000017704,QUESS CORP LIMITED,0.05,INE615P01015,NSE:QUESS-EQ,QUESS
101000000017722,DEN NETWORKS LTD,0.05,INE947J01015,NSE:DEN-EQ,DEN
101000000017728,ASTEC LIFESCIENCES LTD,0.05,INE563J01010,NSE:ASTEC-EQ,ASTEC
101000000017735,BAFNA PHARMACEUTICALS LTD,0.05,INE878I01022,NSE:BAFNAPH-BE,BAFNAPH
101000000017738,YATHARTH HOSP & TRA C S L,0.05,INE0JO301016,NSE:YATHARTH-EQ,YATHARTH
101000000017747,NIIT LEARNING SYSTEMS LTD,0.05,INE342G01023,NSE:NIITMTS-EQ,NIITMTS
101000000017752,SHILPA MEDICARE LTD,0.05,INE790G01031,NSE:SHILPAMED-EQ,SHILPAMED
101000000017758,SARDA ENERGY & MIN LTD,0.05,INE385C01021,NSE:SARDAEN-EQ,SARDAEN
101000000017764,REFEX INDUSTRIES LIMITED,0.05,INE056I01025,NSE:REFEX-EQ,REFEX
101000000017766,ZEAL GLOBAL SERVICES LTD,0.05,INE0PPS01018,NSE:ZEAL-SM,ZEAL
101000000017770,THE GROB TEA COMPANY LTD,0.05,INE646C01018,NSE:GROBTEA-EQ,GROBTEA
101000000017778,ALLCARGO TERMINALS LTD,0.05,INE0NN701020,NSE:ATL-EQ,ATL
101000000017781,KKV AGRO POWERS LTD.,0.05,INE239T01016,NSE:KKVAPOW-SM,KKVAPOW
101000000017795,TRANSINDIA REAL ESTATE L,0.05,INE0O3901029,NSE:TREL-EQ,TREL
101000000017798,SOMI CONVEYOR BELT. LTD.,0.05,INE323J01019,NSE:SOMICONVEY-BE,SOMICONVEY
101000000017801,LLOYDS ENGG WORK LIMITED,0.05,INE093R01011,NSE:LLOYDSENGG-EQ,LLOYDSENGG
101000000017808,ICICIPRAMC - ICICIQTY30,0.01,INF109KC15T5,NSE:QUAL30IETF-EQ,QUAL30IETF
101000000017818,LTIMINDTREE LIMITED,0.05,INE214T01019,NSE:LTIM-EQ,LTIM
10100000001782,KANPUR PLASTIPACK LIMITED,0.05,INE694E01014,NSE:KANPRPLA-EQ,KANPRPLA
101000000017825,ARSHIYA LIMITED,0.05,INE968D01022,NSE:ARSHIYA-BE,ARSHIYA
101000000017833,AHLUWALIA CONT IND LTD,0.05,INE758C01029,NSE:AHLUCONT-EQ,AHLUCONT
101000000017834,SDL TS 7.47% 2032,0.01,IN4520230181,NSE:747TS32-SG,747TS32
101000000017835,SDL TN 7.44% 2033,0.01,IN3120230211,NSE:744TN33B-SG,744TN33B
101000000017840,SDL TS 7.43% 2041,0.01,IN4520230199,NSE:743TS41-SG,743TS41
101000000017841,SDL PN 7.43% 2048,0.01,IN2820230091,NSE:743PN48A-SG,743PN48A
101000000017843,GILLANDERS ARBUTHNOT LTD,0.05,INE047B01011,NSE:GILLANDERS-BE,GILLANDERS
101000000017850,SDL JK 7.43% 2053,0.01,IN4920230062,NSE:743JK53-SG,743JK53
101000000017851,D-LINK INDIA LTD,0.05,INE250K01012,NSE:DLINKINDIA-EQ,DLINKINDIA
101000000017852,SDL AP 7.47% 2032,0.01,IN1020230398,NSE:747AP32-SG,747AP32
101000000017858,GOI TBILL 364D-08/08/24,0.01,IN002023Z208,NSE:364D080824-TB,364D080824
101000000017859,REDTAPE LIMITED,0.05,INE0LXT01019,NSE:REDTAPE-EQ,REDTAPE
101000000017864,SEC RED NCD 9.57% SR. V,0.01,INE530L07210,NSE:NIDO-N5,NIDO
101000000017866,SEC RED NCD 10% SR. VI,0.01,INE530L07228,NSE:NIDO-N6,NIDO
101000000017868,SEC RED NCD SR. VII,0.01,INE530L07236,NSE:NIDO-N7,NIDO
101000000017869,JSW ENERGY LIMITED,0.05,INE121E01018,NSE:JSWENERGY-EQ,JSWENERGY
101000000017875,GODREJ PROPERTIES LTD,0.05,INE484J01027,NSE:GODREJPROP-EQ,GODREJPROP
